Chan_0_1,Chan_0_2,Chan_1_2,timestamp,Latitude,Longitude,Altitude (m)
9,11,15, Sat Mar 18 22:24:32 2023,33.747317,-84.350756,316.7431179
15,12,16, Sat Mar 18 22:25:32 2023,33.746622,-84.358387,307.6435493
9,6,10, Sat Mar 18 22:26:32 2023,33.746737,-84.366983,304.4542789
10,6,14, Sat Mar 18 22:27:32 2023,33.746728,-84.367964,304.9376279
11,11,16, Sat Mar 18 22:28:32 2023,33.746857,-84.375844,317.2719134
4,4,10, Sat Mar 18 22:29:32 2023,33.747774,-84.376641,316.1411504
8,9,12, Sat Mar 18 22:30:32 2023,33.751274,-84.377602,302.8695392
8,4,12, Sat Mar 18 22:31:32 2023,33.75207,-84.378817,306.4814149
13,12,17, Sat Mar 18 22:32:32 2023,33.75199,-84.378445,305.3069683
9,5,16, Sat Mar 18 22:33:32 2023,33.751978,-84.378445,305.2059527
11,10,19, Sat Mar 18 22:34:32 2023,,,
4,7,17, Sat Mar 18 22:35:32 2023,,,
11,9,24, Sat Mar 18 22:36:32 2023,,,
6,4,13, Sat Mar 18 22:37:32 2023,,,
1,2,17, Sat Mar 18 22:38:32 2023,,,
13,8,19, Sat Mar 18 22:39:32 2023,,,
11,7,18, Sat Mar 18 22:40:32 2023,,,
6,5,14, Sat Mar 18 22:41:32 2023,,,
14,12,17, Sat Mar 18 22:42:32 2023,,,
12,11,16, Sat Mar 18 22:43:32 2023,,,
13,12,22, Sat Mar 18 22:44:32 2023,,,
10,9,20, Sat Mar 18 22:45:32 2023,,,
