counts_1_2,counts_2_3,counts_1_3,timestamp
34, 35, 29, Mon Nov 21 16:16:58 2022
29, 29, 27, Mon Nov 21 16:17:58 2022
22, 24, 19, Mon Nov 21 16:18:58 2022
20, 22, 29, Mon Nov 21 16:19:58 2022
29, 22, 26, Mon Nov 21 16:20:58 2022
14, 20, 16, Mon Nov 21 16:21:58 2022
23, 22, 24, Mon Nov 21 16:22:58 2022
23, 24, 23, Mon Nov 21 16:23:58 2022
36, 32, 38, Mon Nov 21 16:24:58 2022
25, 26, 21, Mon Nov 21 16:25:58 2022
18, 21, 20, Mon Nov 21 16:26:58 2022
34, 36, 32, Mon Nov 21 16:27:58 2022
23, 25, 24, Mon Nov 21 16:28:58 2022
22, 19, 20, Mon Nov 21 16:29:58 2022
18, 18, 19, Mon Nov 21 16:30:58 2022
25, 25, 23, Mon Nov 21 16:31:58 2022
21, 20, 20, Mon Nov 21 16:32:58 2022
27, 26, 25, Mon Nov 21 16:33:58 2022
29, 30, 31, Mon Nov 21 16:34:58 2022
20, 17, 17, Mon Nov 21 16:35:58 2022
29, 30, 29, Mon Nov 21 16:36:58 2022
23, 20, 22, Mon Nov 21 16:37:58 2022
24, 17, 18, Mon Nov 21 16:38:58 2022
21, 26, 26, Mon Nov 21 16:39:58 2022
29, 32, 33, Mon Nov 21 16:40:58 2022
20, 26, 23, Mon Nov 21 16:41:58 2022
21, 20, 19, Mon Nov 21 16:42:58 2022
24, 21, 21, Mon Nov 21 16:43:58 2022
14, 18, 24, Mon Nov 21 16:44:58 2022
28, 35, 30, Mon Nov 21 16:45:58 2022
21, 26, 25, Mon Nov 21 16:46:58 2022
25, 23, 23, Mon Nov 21 16:47:58 2022
23, 22, 23, Mon Nov 21 16:48:58 2022
15, 18, 14, Mon Nov 21 16:49:58 2022
14, 19, 19, Mon Nov 21 16:50:58 2022
14, 20, 13, Mon Nov 21 16:51:58 2022
18, 26, 18, Mon Nov 21 16:52:58 2022
28, 29, 28, Mon Nov 21 16:53:58 2022
23, 24, 20, Mon Nov 21 16:54:58 2022
29, 24, 33, Mon Nov 21 16:55:58 2022
21, 27, 24, Mon Nov 21 16:56:58 2022
27, 28, 30, Mon Nov 21 16:57:58 2022
20, 23, 22, Mon Nov 21 16:58:58 2022
24, 29, 27, Mon Nov 21 16:59:58 2022
33, 26, 30, Mon Nov 21 17:00:58 2022
28, 22, 28, Mon Nov 21 17:01:58 2022
20, 20, 17, Mon Nov 21 17:02:58 2022
28, 38, 29, Mon Nov 21 17:03:58 2022
18, 20, 17, Mon Nov 21 17:04:58 2022
22, 22, 20, Mon Nov 21 17:05:58 2022
26, 24, 33, Mon Nov 21 17:06:58 2022
27, 27, 26, Mon Nov 21 17:07:58 2022
14, 18, 15, Mon Nov 21 17:08:58 2022
17, 16, 16, Mon Nov 21 17:09:58 2022
20, 26, 20, Mon Nov 21 17:10:58 2022
29, 29, 28, Mon Nov 21 17:11:58 2022
23, 25, 25, Mon Nov 21 17:12:58 2022
18, 18, 22, Mon Nov 21 17:13:58 2022
30, 31, 28, Mon Nov 21 17:14:58 2022
16, 15, 21, Mon Nov 21 17:15:58 2022
30, 33, 25, Mon Nov 21 17:16:58 2022
19, 18, 19, Mon Nov 21 17:17:58 2022
18, 23, 16, Mon Nov 21 17:18:58 2022
27, 31, 25, Mon Nov 21 17:19:58 2022
25, 21, 22, Mon Nov 21 17:20:58 2022
15, 15, 15, Mon Nov 21 17:21:58 2022
25, 30, 25, Mon Nov 21 17:22:58 2022
24, 25, 24, Mon Nov 21 17:23:58 2022
17, 25, 22, Mon Nov 21 17:24:58 2022
18, 24, 20, Mon Nov 21 17:25:58 2022
20, 25, 21, Mon Nov 21 17:26:58 2022
18, 19, 18, Mon Nov 21 17:27:58 2022
28, 29, 27, Mon Nov 21 17:28:58 2022
19, 18, 25, Mon Nov 21 17:29:58 2022
25, 26, 26, Mon Nov 21 17:30:58 2022
18, 22, 23, Mon Nov 21 17:31:58 2022
24, 22, 24, Mon Nov 21 17:32:58 2022
16, 15, 20, Mon Nov 21 17:33:58 2022
