counts_1_3,counts_2_3,counts_1_2,timestamp
19, 15, 22, Fri Jan 20 01:14:53 2023
11, 14, 11, Fri Jan 20 01:15:53 2023
20, 17, 19, Fri Jan 20 01:16:53 2023
26, 15, 19, Fri Jan 20 01:17:53 2023
19, 12, 15, Fri Jan 20 01:18:53 2023
13, 7, 21, Fri Jan 20 01:19:53 2023
22, 19, 17, Fri Jan 20 01:20:53 2023
14, 7, 12, Fri Jan 20 01:21:53 2023
16, 16, 11, Fri Jan 20 01:22:53 2023
11, 5, 11, Fri Jan 20 01:23:53 2023
14, 13, 19, Fri Jan 20 01:24:53 2023
12, 15, 18, Fri Jan 20 01:25:53 2023
9, 9, 8, Fri Jan 20 01:26:53 2023
17, 10, 12, Fri Jan 20 01:27:53 2023
10, 10, 11, Fri Jan 20 01:28:53 2023
15, 8, 9, Fri Jan 20 01:29:53 2023
14, 11, 12, Fri Jan 20 01:30:53 2023
11, 11, 14, Fri Jan 20 01:31:53 2023
16, 12, 13, Fri Jan 20 01:32:53 2023
12, 13, 14, Fri Jan 20 01:33:53 2023
14, 11, 15, Fri Jan 20 01:34:53 2023
9, 5, 16, Fri Jan 20 01:35:53 2023
23, 18, 18, Fri Jan 20 01:36:53 2023
16, 8, 11, Fri Jan 20 01:37:53 2023
10, 6, 12, Fri Jan 20 01:38:53 2023
17, 15, 16, Fri Jan 20 01:41:53 2023
15, 10, 15, Fri Jan 20 01:42:53 2023
20, 22, 26, Fri Jan 20 01:43:53 2023
9, 9, 14, Fri Jan 20 01:44:53 2023
15, 12, 14, Fri Jan 20 01:45:53 2023
10, 11, 11, Fri Jan 20 01:46:53 2023
19, 15, 20, Fri Jan 20 01:47:53 2023
10, 11, 12, Fri Jan 20 01:48:53 2023
11, 12, 14, Fri Jan 20 01:49:53 2023
21, 24, 22, Fri Jan 20 01:50:53 2023
17, 15, 21, Fri Jan 20 01:51:53 2023
7, 8, 8, Fri Jan 20 01:52:53 2023
21, 17, 18, Fri Jan 20 01:53:53 2023
21, 18, 26, Fri Jan 20 01:54:53 2023
14, 6, 10, Fri Jan 20 01:55:53 2023
9, 5, 12, Fri Jan 20 01:56:53 2023
9, 10, 6, Fri Jan 20 01:57:53 2023
14, 6, 12, Fri Jan 20 01:58:53 2023
15, 14, 12, Fri Jan 20 01:59:53 2023
15, 17, 18, Fri Jan 20 02:00:53 2023
13, 11, 13, Fri Jan 20 02:01:53 2023
16, 19, 16, Fri Jan 20 02:02:53 2023
18, 15, 16, Fri Jan 20 02:03:53 2023
10, 11, 20, Fri Jan 20 02:04:53 2023
