Chan_0_1,Chan_0_2,Chan_1_2,timestamp
51, 34, 48, Wed Jun 28 10:59:18 2023
50, 32, 40, Wed Jun 28 11:00:18 2023
52, 39, 53, Wed Jun 28 11:01:18 2023
50, 33, 45, Wed Jun 28 11:02:18 2023
57, 44, 57, Wed Jun 28 11:03:18 2023
47, 41, 51, Wed Jun 28 11:04:18 2023
41, 35, 48, Wed Jun 28 11:05:18 2023
41, 31, 33, Wed Jun 28 11:06:18 2023
42, 34, 46, Wed Jun 28 11:07:18 2023
63, 46, 66, Wed Jun 28 11:08:18 2023
44, 30, 40, Wed Jun 28 11:09:18 2023
46, 30, 38, Wed Jun 28 11:10:18 2023
46, 30, 44, Wed Jun 28 11:11:18 2023
47, 32, 62, Wed Jun 28 11:12:18 2023
41, 28, 46, Wed Jun 28 11:13:18 2023
44, 34, 56, Wed Jun 28 11:14:18 2023
49, 36, 64, Wed Jun 28 11:15:18 2023
38, 31, 68, Wed Jun 28 11:16:18 2023
39, 28, 50, Wed Jun 28 11:17:18 2023
35, 22, 43, Wed Jun 28 11:18:18 2023
48, 25, 54, Wed Jun 28 11:19:18 2023
45, 35, 66, Wed Jun 28 11:20:18 2023
38, 24, 49, Wed Jun 28 11:21:18 2023
53, 32, 63, Wed Jun 28 11:22:18 2023
51, 37, 56, Wed Jun 28 11:23:18 2023
54, 41, 59, Wed Jun 28 11:24:18 2023
52, 41, 47, Wed Jun 28 11:25:18 2023
51, 41, 55, Wed Jun 28 11:26:18 2023
58, 46, 52, Wed Jun 28 11:27:18 2023
47, 28, 40, Wed Jun 28 11:28:18 2023
59, 43, 47, Wed Jun 28 11:29:18 2023
45, 43, 50, Wed Jun 28 11:30:18 2023
53, 38, 47, Wed Jun 28 11:31:18 2023
51, 36, 54, Wed Jun 28 11:32:18 2023
53, 34, 39, Wed Jun 28 11:33:18 2023
59, 41, 46, Wed Jun 28 11:34:18 2023
44, 36, 37, Wed Jun 28 11:35:18 2023
55, 42, 52, Wed Jun 28 11:36:18 2023
46, 35, 46, Wed Jun 28 11:37:18 2023
59, 42, 63, Wed Jun 28 11:38:18 2023
56, 42, 60, Wed Jun 28 11:39:18 2023
56, 37, 58, Wed Jun 28 11:40:18 2023
47, 42, 59, Wed Jun 28 11:41:18 2023
60, 45, 56, Wed Jun 28 11:42:18 2023
64, 46, 57, Wed Jun 28 11:43:18 2023
46, 38, 54, Wed Jun 28 11:44:18 2023
44, 32, 45, Wed Jun 28 11:45:18 2023
51, 31, 44, Wed Jun 28 11:46:18 2023
50, 38, 51, Wed Jun 28 11:47:18 2023
49, 41, 50, Wed Jun 28 11:48:18 2023
55, 35, 49, Wed Jun 28 11:49:18 2023
34, 26, 37, Wed Jun 28 11:50:18 2023
48, 39, 51, Wed Jun 28 11:51:18 2023
51, 37, 53, Wed Jun 28 11:52:18 2023
37, 27, 31, Wed Jun 28 11:53:18 2023
57, 39, 50, Wed Jun 28 11:54:18 2023
44, 35, 50, Wed Jun 28 11:55:18 2023
52, 34, 45, Wed Jun 28 11:56:18 2023
57, 38, 43, Wed Jun 28 11:57:18 2023
54, 38, 55, Wed Jun 28 11:58:18 2023
50, 41, 54, Wed Jun 28 11:59:18 2023
49, 38, 46, Wed Jun 28 12:00:18 2023
50, 38, 42, Wed Jun 28 12:01:18 2023
44, 27, 39, Wed Jun 28 12:02:18 2023
62, 48, 58, Wed Jun 28 12:03:18 2023
44, 33, 42, Wed Jun 28 12:04:18 2023
53, 41, 52, Wed Jun 28 12:05:18 2023
44, 29, 35, Wed Jun 28 12:06:18 2023
46, 40, 38, Wed Jun 28 12:07:18 2023
43, 35, 41, Wed Jun 28 12:08:18 2023
63, 48, 61, Wed Jun 28 12:09:18 2023
38, 34, 34, Wed Jun 28 12:10:18 2023
51, 40, 45, Wed Jun 28 12:11:18 2023
48, 38, 47, Wed Jun 28 12:12:18 2023
51, 39, 51, Wed Jun 28 12:13:18 2023
