Chan_0_1,Chan_0_2,Chan_1_2,timestamp
1910, 1187, 1924, Fri Nov 17 19:26:44 2023
1829, 1106, 1847, Fri Nov 17 19:27:44 2023
1879, 1152, 1949, Fri Nov 17 19:28:44 2023
1797, 1048, 1803, Fri Nov 17 19:29:44 2023
1826, 1103, 1868, Fri Nov 17 19:30:44 2023
1854, 1101, 1868, Fri Nov 17 19:31:44 2023
1815, 1145, 1880, Fri Nov 17 19:32:44 2023
1815, 1085, 1820, Fri Nov 17 19:33:44 2023
1900, 1162, 1967, Fri Nov 17 19:34:44 2023
1942, 1170, 1928, Fri Nov 17 19:35:44 2023
1820, 1110, 1839, Fri Nov 17 19:36:44 2023
1855, 1137, 1906, Fri Nov 17 19:37:44 2023
1855, 1119, 1896, Fri Nov 17 19:38:44 2023
1840, 1101, 1877, Fri Nov 17 19:39:44 2023
1774, 1057, 1828, Fri Nov 17 19:40:44 2023
1818, 1089, 1883, Fri Nov 17 19:41:44 2023
1841, 1142, 1954, Fri Nov 17 19:42:44 2023
1855, 1133, 1873, Fri Nov 17 19:43:44 2023
1766, 1084, 1824, Fri Nov 17 19:44:44 2023
1829, 1127, 1895, Fri Nov 17 19:45:44 2023
1829, 1118, 1862, Fri Nov 17 19:46:44 2023
1855, 1088, 1782, Fri Nov 17 19:47:44 2023
1798, 1058, 1841, Fri Nov 17 19:48:44 2023
1895, 1154, 1911, Fri Nov 17 19:49:44 2023
1788, 1124, 1895, Fri Nov 17 19:50:44 2023
1788, 1043, 1753, Fri Nov 17 19:51:44 2023
1860, 1134, 1878, Fri Nov 17 19:52:44 2023
1808, 1083, 1817, Fri Nov 17 19:53:44 2023
1897, 1164, 1937, Fri Nov 17 19:54:44 2023
1728, 1041, 1786, Fri Nov 17 19:55:44 2023
1888, 1117, 1855, Fri Nov 17 19:56:44 2023
1824, 1102, 1862, Fri Nov 17 19:57:44 2023
1840, 1133, 1859, Fri Nov 17 19:58:44 2023
1899, 1148, 1903, Fri Nov 17 19:59:44 2023
1784, 1061, 1790, Fri Nov 17 20:00:44 2023
1806, 1116, 1813, Fri Nov 17 20:01:44 2023
1842, 1099, 1834, Fri Nov 17 20:02:44 2023
1830, 1148, 1888, Fri Nov 17 20:03:44 2023
1735, 1040, 1777, Fri Nov 17 20:04:44 2023
